country,role,name
Afghanistan,Ambassador to the US,Hamdullah MOHIB
Afghanistan,Attorney General,Mohammad Farid HAMIDI
Afghanistan,CEO,"Abdullah ABDULLAH, Dr."
Afghanistan,"Dir. Gen., Independent Directorate for Local Governance",Abdul Matin BEK
Afghanistan,"Dir. Gen., National Directorate of Security",Mohammad Masoom STANEKZAI
Afghanistan,First Deputy CEO,Khyal Mohammad KHAN
Afghanistan,First Vice Pres.,Abdul Rashid DOSTAM
Afghanistan,"Governor, Da Afghanistan Bank",Khalilullah SEDIQ
Afghanistan,"Min. of Agriculture, Irrigation, & Livestock",Nasir Ahmad DURRANI
Afghanistan,Min. of Border & Tribal Affairs,Gul Agha SHERZAI
Afghanistan,Min. of Commerce & Industry,Homayoun RASA
Afghanistan,Min. of Counternarcotics,Salamat AZIMI
Afghanistan,Min. of Defense,Tariq Shah BAHRAMI
Afghanistan,Min. of Economy,Mohammad Mustafa MASTOOR
Afghanistan,Min. of Education,Mohammad Ibrahim SHINWARI
Afghanistan,Min. of Energy & Water,Ali Ahmad OSMANI
Afghanistan,Min. of Finance,Eklil Ahmad HAKIMI
Afghanistan,Min. of Foreign Affairs,Salahuddin RABBANI
Afghanistan,Min. of Hajj & Islamic Affairs,Faiz Mohammad OSMANI
Afghanistan,Min. of Higher Education,Najibullah Khwaja OMARI
Afghanistan,Min. of Information & Culture,Mohammad Rasul BAWARI
Afghanistan,Min. of Interior,Wais Ahmad BARMAK
Afghanistan,Min. of Justice,Abdul Basir ANWAR
Afghanistan,"Min. of Martyred, Disabled, Labor, & Social Affairs",Faizullah ZAKI
Afghanistan,Min. of Parliamentary Affairs,Faruq WARDAK
Afghanistan,Min. of Public Health,Ferozuddin FEROZ
Afghanistan,Min. of Public Works,Yama YARI
Afghanistan,Min. of Refugees & Repatriation,Sayed Hussain Alemi BALKHI
Afghanistan,Min. of Rural Rehabilitation & Development,Mujib Rahman KARIMI
Afghanistan,Min. of Telecommunication & Information Technology,Shahzad Gul ARYUBI
Afghanistan,Min. of Tourism,Ghulam Nabi FARAHI
Afghanistan,Min. of Transportation & Civil Aviation,Mohammad Hamid TAHMASI
Afghanistan,Min. of Urban Development,Sayed Sadat NADERI
Afghanistan,Min. of Women's Affairs,Dilbar NAZARI
Afghanistan,National Security Adviser,Mohammad Hanif ATMAR
Afghanistan,"Permanent Representative to the UN, New York",Mahmood SAIKAL
Afghanistan,Pres.,Ashraf GHANI
Afghanistan,Second Deputy CEO,Mohammad MOHAQQEQ
Afghanistan,Second Vice Pres.,Sarwar DANESH
Albania,Ambassador to the US,Floreta FABER
Albania,Dep. Prime Min.,Senida MESI
Albania,"Governor, Bank of Albania",Gent SEJKO
Albania,Min. for Europe & Foreign Affairs,Ditmir BUSHATI
Albania,Min. of Agriculture & Rural Development,Niko PELESHI
Albania,Min. of Culture,Mirela KUMBARO
Albania,Min. of Defense,Olta XHACKA
Albania,Min. of Diaspora,Pandeli MAJKO
Albania,Min. of Economy,Milva EKONOMI
Albania,"Min. of Education, Sports, & Youth",Lindita NIKOLLA
Albania,Min. of Environment,Lefter KOKA
Albania,Min. of Finance & Economy,Arben AHMETAJ
Albania,Min. of Health & Social Welfare,Orgerta MANASTIRLIU
Albania,Min. of Infrastructure & Energy,Damian GJIKNURI
Albania,Min. of Innovation & Public Admin.,Milena HARITO
Albania,Min. of Integration,Klajda GJOSHA
Albania,Min. of Interior,Fatmir XHAFAJ
Albania,Min. of Justice,Etilda GJONAJT
Albania,Min. of Local Govt. Affairs,Bled CUCI
Albania,Min. of Protection of Entrepreneurs,Sonila QATO
Albania,Min. of Relations With Parliament,Ermonela FELAJ
Albania,Min. of Tourism & Environment,Blendi KLOSI
Albania,Min. of Transport & Infrastructure,Edmond HAXHINASTO
Albania,Min. of Urban Development,Eglantina GJERMENI
Albania,Min. of Youth & Social Welfare,Blendi KLOSI
Albania,"Permanent Representative to the UN, New York",Besiana KADARE
Albania,Pres.,Ilir META
Albania,Prime Min.,Edi RAMA
Algeria,Ambassador to the US,Madjid BOUGUERRA
Algeria,"Dep. Min. of National Defense & Chief of Staff, People's National Army",Ahmad GAID-SALAH
Algeria,"Governor, Central Bank",Mohamed LOUKAL
Algeria,"Min. of Agriculture, Rural Development, & Fisheries",Abdelkader BOUAZGUI
Algeria,Min. of Commerce,Said DJELLAB
Algeria,Min. of Communication,Djamel KAOUANE
Algeria,Min. of Culture,Azzedine MIHOUBI
Algeria,Min. of Energy,Mustapha GUITOUNI
Algeria,Min. of Environment & Renewable Energies,Fatma Zohra ZEROUATI
Algeria,Min. of Finance,Abderrahmane RAOUIA
Algeria,Min. of Foreign Affairs & International Cooperation,Abdelkader MESSAHEL
Algeria,"Min. of Health, Population, & Hospital Reform",Mokhtar HASBELLAOUI
Algeria,Min. of Higher Education & Scientific Research,Tahar HADJAR
Algeria,"Min. of Housing, Urban Planning, & the City",Abdelwahid TEMMARA
Algeria,Min. of Industry & Mines,Youcef YOUSFI
Algeria,Min. of Interior & Local Govts.,Nouredine BEDOUI
Algeria,Min. of Justice & Keeper of the Seals,Tayeb LOUH
Algeria,"Min. of Labor, Employment, & Social Security",Mourad ZEMALI
Algeria,Min. of National Defense,Abdelaziz BOUTEFLIKA
Algeria,Min. of National Education,Nouria BENGHEBRIT
Algeria,"Min. of National Solidarity, Family, & Women's Affairs",Ghania EDDALIA
Algeria,"Min. of Post, Information Technologies, & Communications",Iman Houda FERAOUN
Algeria,Min. of Public Works & Transport,Abdelghani ZAALANE
Algeria,Min. of Relations With the Parliament,Mahdjoub BEDDA
Algeria,Min. of Religious Affairs & Endowments,Mohamed AISSA
Algeria,Min. of Tourism & Handicrafts,Abdelkader BENMESSAOUD
Algeria,Min. of Vocational Training & Education Professionals,Mohamed MEBARKI
Algeria,Min. of War Veterans (Moudjahidine),Tayeb ZITOUNI
Algeria,Min. of Water Resources,Hocine NECIB
Algeria,Min. of Youth & Sports,Mohamed HATTAB
Algeria,"Permanent Representative to the UN, New York",Sabri BOUKADOUM
Algeria,Pres.,Abdelaziz BOUTEFLIKA
Algeria,Prime Min.,Ahmed OUYAHIA
Algeria,Sec. Gen. of the Govt.,Ahmed NOUI
Andorra,Ambassador to the US,Elisenda VIVES BALMANA
Andorra,Head of Govt.,Antoni MARTI Petit
Andorra,Head of State (Co-Prince),Emmanuel MACRON
Andorra,Head of State (Co-Prince),"Joan-Enric VIVES i SICILIA, Bishop"
Andorra,Min. of Civil Service & Admin. Reform,Eva DESCARREGA Garcia
Andorra,"Min. of Culture, Youth, & Sports",Olga GELABERT FABREGA
Andorra,Min. of Education & Higher Education,Eric JOVER COMAS
Andorra,"Min. of Environment, Agriculture, & Sustainability",Silvia CALVO ARMENGOL
Andorra,Min. of Finance,Jordi CINCA Mateos
Andorra,Min. of Foreign Affairs,Gilbert SABOYA Sunye
Andorra,Min. of Health,Carles ALVAREZ MARFANY
Andorra,"Min. of Social Affairs, Justice, & Interior",Xavier ESPOT Zamora
Andorra,Min. of Territorial Planning,Jordi TORRES FALCO
Andorra,Min. of Tourism & Commerce,Francesc CAMP Torres
Andorra,"Permanent Representative to the UN, New York",Elisenda VIVES BALMANA
Angola,Ambassador to the US,Agostinho NETO
Angola,Attorney Gen.,Helder Fernando Pitta GROS
Angola,"Governor, National Bank of Angola",Jose de Lima MASSANO
Angola,"Min. in the Office of the Presidency, Civil Affairs",Frederico Manuel Dos Santos e Silva CARDOSO
Angola,Min. of Agriculture,Marcos Alexandre NHUNGA
Angola,Min. of Commerce,Joffre Van-Dunem JUNIOR
Angola,Min. of Culture,Carolina CERQUEIRA
Angola,Min. of Economy,Pedro Luis DE FONSECA
Angola,Min. of Education,Maria Candida TEIXEIRA
Angola,Min. of Energy & Water,Joao Baptista BORGES
Angola,Min. of Environment,Paula Cristina Francisco COELHO
Angola,Min. of External Relations,Manuel Domingos AUGUSTO
Angola,Min. of Family & Women Promotion,Victoria Francisco Correia CONCEICAO
Angola,Min. of Finance,Augusto Archer de Sousa MANGUEIRA
Angola,Min. of Fisheries,Victoria Christopher Francisco Lopes de Barros NETO
Angola,Min. of Former Combatants & Veterans of War,Joao Ernesto DOS SANTOS
Angola,Min. of Health,Silvia Paula Valentim LUTUCUTA
Angola,Min. of Higher Education,Maria Do Rosario Braganca SAMBO
Angola,Min. of Hotels & Tourism,Maria Angela Teixeira De Alva Sequeira BRAGANCA
Angola,Min. of Industry,Bernarda Goncalves Martins Henriques DA SILVA
Angola,Min. of Interior,Angelo de Barros Veiga TAVARES
Angola,Min. of Justice & Human Rights,Francisco Manuel Monteiro DE QUEIROZ
Angola,Min. of Mineral Resources and Petroleum,Diamantino Pedro AZEVEDO
Angola,Min. of National Defense,Salviano de Jesus SEQUEIRA
Angola,Min. of Parliamentary Affairs,Rosa Luis de Sousa MICOLO
Angola,Min. of Planning,Ana Paula Chantre Luna DE CARVALHO
Angola,"Min. of Public Admin., Employment, & Social Security",Antonio Rodrigues Afonso PAULO
Angola,Min. of Science & Technology,Maria Candida TEIXEIRA
Angola,Min. of Social Communication,Anibal Joao Da Silva MELO
Angola,Min. of State & Head of the Security House of the Pres. of the Republic,Pedro SEBASTIAO
Angola,Min. of State for Economic and Social Development,Manuel Jose Nunes JUNIOR
Angola,Min. of Telecommunications & Information Technology,Jose Carvalho DA ROCHA
Angola,Min. of Territorial Admin.,Ana Paula Chantre Luna DE CARVALHO
Angola,Min. of Transport,Ricardo Daniel Sandao Viegas de ABREU
Angola,Min. of Urbanism & Housing,Jose Antonio Maria DA CONCEICAO E SILVA
Angola,Min. of Welfare & Social Reintegration,Joao Baptista KUSSUMUA
Angola,Min. of Youth & Sports,Ana Paula Sacramento NETO
Angola,"Permanent Representative to the UN, New York",Maria de Jesus dos Reis FERREIRA
Angola,Pres.,Joao Manuel Goncalves LOURENCO
Angola,Sec. of the Council of Ministers,Frederico Manuel dos Santos e Silva CARDOSO
Angola,Vice Pres.,Bornito De Sousa Baltazar DIOGO
Antigua and Barbuda,Ambassador to the US,Ronald SANDERS
Antigua and Barbuda,Attorney Gen.,Steadroy BENJAMIN
Antigua and Barbuda,Governor Gen.,Rodney WILLIAMS
Antigua and Barbuda,"Min. of Agriculture, Fisheries, & Barbuda Affairs",Dean JONAS
Antigua and Barbuda,"Min. of Education, Science, & Technology",Michael BROWNE
Antigua and Barbuda,Min. of Finance & Corporate Governance,Gaston BROWNE
Antigua and Barbuda,"Min. of Foreign Affairs, Immigration, & Intl. Trade",Paul GREENE
Antigua and Barbuda,"Min. of Health, Wellness, & the Environment",Molwyn JOSEPH
Antigua and Barbuda,"Min. of Housing, Lands, & Urban Renewal",Maria BROWNE
Antigua and Barbuda,"Min. of Information, Broadcasting, Telecommunications, & Information Technology",Melford NICHOLAS
Antigua and Barbuda,"Min. of Legal Affairs, Public Safety, & Labor",Steadroy BENJAMIN
Antigua and Barbuda,"Min. of Public Utilities, Civil Aviation, & Energy",Robin YEARWOOD
Antigua and Barbuda,Min. of Social Transformation & Human Resource Development,Samantha Nicole MARSHALL
Antigua and Barbuda,"Min. of Sports, Culture, National Festivals, & the Arts",Daryll MATHEW
Antigua and Barbuda,Min. of Tourism & Economic Development,Charles FERNANDEZ
Antigua and Barbuda,Min. of Works,Lennox WESTON
Antigua and Barbuda,"Permanent Representative to the UN, New York",Walton Alfonso WEBSON
Antigua and Barbuda,Prime Min.,Gaston BROWNE
Antigua and Barbuda,Senior Min.,Lester BIRD
Argentina,Ambassador to the US,Fernando ORIS DE ROA
Argentina,Chief of Cabinet,Marcos PENA
Argentina,Min. of Defense,Oscar AGUAD
Argentina,"Min. of Education, Culture, Science, & Technology",Alejandro FINOCCHIARO
Argentina,Min. of Foreign Relations & Worship,Jorge Marcelo FAURIE
Argentina,Min. of Health & Social Development,Carolina STANLEY
Argentina,Min. of Justice & Human Rights,German GARAVANO
Argentina,Min. of Production & Work,Dante SICA
Argentina,Min. of Security,Patricia BULLRICH
Argentina,Min. of Transportation,Guillermo DIETRICH
Argentina,Min. of Treasury & Finance,Nicolas DUJOVNE
Argentina,"Min. of the Interior, Public Works, & Housing",Rogelio FRIGERIO
Argentina,"Permanent Representative to the UN, New York",Martin GARCIA MORITAN
Argentina,Pres.,Mauricio MACRI
Argentina,"Pres., Central Bank",Guido SANDLERIS
Argentina,Vice Pres.,Gabriela MICHETTI
Armenia,Ambassador to the US,Grigor HOVHANNISSIAN
Armenia,"Chmn., Central Bank of Armenia",Artur JAVADIAN
Armenia,Dep. Prime Min.,Mher GRIGORYAN
Armenia,Dep. Prime Min.,Tigran AVINYAN
Armenia,First Dep. Prime Min.,Ararat MIRZOYAN
Armenia,Min. of Agriculture,Artur KHACHATRYAN
Armenia,Min. of Culture,Lilit MAKUNTS
Armenia,Min. of Defense,Davit TONOYAN
Armenia,Min. of Diaspora,Mkhitar HAYRAPETYAN
Armenia,Min. of Economic Development & Investment,Artsvik MINASYAN
Armenia,Min. of Education & Science,Arayik HARUTYUNYAN
Armenia,Min. of Emergency Situations,Hrachya ROSTOMYAN
Armenia,Min. of Energy Infrastructure & Natural Resources,Artur GRIGORYAN
Armenia,Min. of Finance,Atom JANJUGHAZYAN
Armenia,Min. of Foreign Affairs,Zohrab MNATSAKANYAN
Armenia,Min. of Health,Arsen TOROSYAN
Armenia,Min. of Justice,Artak ZEYNALYAN
Armenia,Min. of Labor & Social Affairs,Mane TANDILYAN
Armenia,Min. of Nature Protection,Erik GRIGORYAN
Armenia,Min. of Sport & Youth Affairs,Levon VAHRADYAN
Armenia,Min. of Territorial Admin. & Development,Suren PAPIKYAN
Armenia,Min. of Transport & Communication,Ashot HAKOBYAN
Armenia,Pres.,Armen SARGSYAN
Armenia,President's Chief of Staff,Eduard AGHAJANYAN
Armenia,Prime Min.,Nikol PASHINYAN
Aruba,Attorney Gen.,Taco STEIN
Aruba,Governor,Fredis REFUNJOL
Aruba,Min. of Culture,Michelle HOOYBOER-WINKLAAR
Aruba,Min. of Finance & Economic Affairs,Mike DE MEZA
Aruba,Min. of Infrastructure,Benny SEVINGER
Aruba,Min. of Justice & Education,Arthur DOWERS
Aruba,Min. of Public Health & Sport,Richard VISSER
Aruba,"Min. of Tourism, Transportation, & Labor",Otmar ODUBER
Aruba,"Pres., Central Bank",J. R. SEMELEER
Aruba,Prime Min.,Michiel Godfried EMAN
Australia,Ambassador to the US,"Joseph ""Joe"" Benedict HOCKEY"
Australia,Attorney Gen.,Christian PORTER
Australia,"Chief of Staff, Prime Minister's Office",John KUNKEL
Australia,Dep. Prime Min.,Michael MCCORMACK
Australia,Governor Gen.,Peter John COSGROVE
Australia,"Governor, Reserve Bank of Australia",Glenn Robert STEVENS
Australia,"Min. for Aged Care, Senior Australians, & Indigenous Health",Ken WYATT
Australia,Min. for Agriculture & Water Resources,David LITTLEPROUD
Australia,"Min. for Cities, Urban Infrastructure, & for Population",Alan TUDGE
Australia,Min. for Communications,"Mitchell Peter ""Mitch"" FIFIELD"
Australia,Min. for Defense,Christopher PYNE
Australia,Min. for Defense Industry,Steven CIOBO
Australia,Min. for Digital Transformation,Michael KEENAN
Australia,Min. for Education,Dan TEHAN
Australia,Min. for Energy,Angus TAYLOR
Australia,Min. for Families & Social Services,Paul FLETCHER
Australia,Min. for Finance,Mathias Hubert Paul CORMANN
Australia,Min. for Foreign Affairs,Marise PAYNE
Australia,Min. for Health,Gregory Andrew HUNT
Australia,Min. for Home Affairs,Peter Craig DUTTON
Australia,Min. for Human Services,Michael KEENAN
Australia,"Min. for Immigration, Citizenship, & Multicultural Affairs",David COLEMAN
Australia,Min. for Indigenous Affairs,Nigel Gregory SCULLION
Australia,Min. for Industrial Relations,Kelly O'DWYER
Australia,"Min. for Industry, Science, & Technology",Karen ANDREWS
Australia,Min. for Infrastructure,Michael MCCORMACK
Australia,Min. for Jobs,Kelly O'DWYER
Australia,Min. for Local Govt. & for Decentralization,Bridget MCKENZIE
Australia,Min. for Public Service,Mathius CORMANN
Australia,Min. for Regional Development,Michael MCCORMACK
Australia,Min. for Regional Services,Bridget MCKENZIE
Australia,Min. for Resources & Northern Australia,Matt CANAVAN
Australia,Min. for Skills & Vocational Training,Michaelia CASH
Australia,Min. for Small & Family Business,Michaelia CASH
Australia,Min. for Sport,Bridget MCKENZIE
Australia,"Min. for Trade, Investment, & Tourism",Simon BIRMINGHAM
Australia,Min. for Transport,Michael MCCORMACK
Australia,Min. for Women,Kelly O'DWYER
Australia,Min. for the Arts,"Mitchell Peter ""Mitch"" FIFIELD"
Australia,Min. for the Environment,Melissa PRICE
Australia,"Permanent Representative to the UN, New York",Gillian Elizabeth BIRD
Australia,Prime Min.,Scott MORRISON
Australia,Special Min. for State,Alex HAWKE
Australia,Treasurer,Josh FRYDENBERG
Austria,Ambassador to the US,Wolfgang WALDNER
Austria,Chancellor,Sebastian KURZ
Austria,"Governor, Austrian National Bank",Ewald NOWOTNY
Austria,"Min. Within the Chancellery for EU, Arts, Culture, & Media",Gernot BLUEMEL
Austria,"Min. Within the Chancellery for Families, Women, & Youth",Juliane BOGNER-STRAUSS
Austria,"Min. for Constitutional Affairs, Reforms, Deregulation, & Justice",Josef MOSER
Austria,Min. for Defense,Mario KUNASEK
Austria,"Min. for Digitalization, Business, & Enterprise",Margarete SCHRAMBOECK
Austria,"Min. for Education, Science, & Research",Heinz FASSMANN
Austria,"Min. for Europe, Integration, & Foreign Affairs",Karin KNEISSL
Austria,Min. for Finance,Hartwig LOEGER
Austria,Min. for Interior,Herbert KICKL
Austria,"Min. for Labour, Social Affairs, Health, & Consumer Protection",Beate HARTINGER-KLEIN
Austria,Min. for Public Service & Sports,Heinz-Christian STRACHE
Austria,Min. for Sustainability & Tourism,Elisabeth KOESTINGER
Austria,"Min. for Transport, Innovation, & Technology",Norbert HOFER
Austria,"Permanent Representative to the UN, New York",Jan KICKERT
Austria,Pres.,Alexander VAN DER BELLEN
Austria,Vice Chancellor,Heinz-Christian STRACHE
Azerbaijan,Ambassador to the US,Elin SULEYMANOV
Azerbaijan,"Chmn., National Bank",Elman RUSTAMOV
Azerbaijan,Dep. Prime Min.,Ali AKHMEDOV
Azerbaijan,Dep. Prime Min.,Ali HASANOV
Azerbaijan,Dep. Prime Min.,Hajibala ABUTALIBOV
Azerbaijan,First Dep. Prime Min.,Yaqub EYYUBOV
Azerbaijan,First Vice Pres.,Mehriban ALIYEVA
Azerbaijan,Min. of Agriculture,Inam KARIMOV
Azerbaijan,Min. of Culture & Tourism,Abulfaz GARAYEV
Azerbaijan,Min. of Defense,"Zakir HASANOV, Col. Gen."
Azerbaijan,Min. of Ecology & Natural Resources,Mukhtar BABAYEV
Azerbaijan,Min. of Economy & Industry,Shahin MUSTAFAYEV
Azerbaijan,Min. of Education,Jeyhun BAYRAMOV
Azerbaijan,Min. of Emergency Situations,Kamaladdin HEYDAROV
Azerbaijan,Min. of Energy,Parviz SHAHBAZOV
Azerbaijan,Min. of Finance,Samir SHARIFOV
Azerbaijan,Min. of Foreign Affairs,Elmar MAMMADYAROV
Azerbaijan,Min. of Health,Oqtay SHIRALIYEV
Azerbaijan,Min. of Internal Affairs,"Ramil USUBOV, Col. Gen."
Azerbaijan,Min. of Justice,Fikret MAMEDOV
Azerbaijan,Min. of Labor & Social Protection of the Population,Sahil BABAYEV
Azerbaijan,Min. of Sports & Youth,Azad RAHIMOV
Azerbaijan,Min. of Taxation,Mikayil JABBAROV
Azerbaijan,"Min. of Transport, Communications, & High Technologies",Ramin GULUZADE
Azerbaijan,"Permanent Representative to the UN, New York",Yashar ALIYEV
Azerbaijan,Pres.,Ilham ALIYEV
Azerbaijan,Prime Min.,Novruz MAMMADOV
"Bahamas, The",Ambassador to the US,Sidney Stanley COLLIE
"Bahamas, The",Dep. Prime Min.,Peter TURNQUEST
"Bahamas, The","Governor, Central Bank",Wendy CRAIGG
"Bahamas, The",Min. of Agriculture & Marine Resources,Renward WELLS
"Bahamas, The",Min. of Education,Jeffrey LLOYD
"Bahamas, The",Min. of Finance,Peter TURNQUEST
"Bahamas, The","Min. of Financial Services, Investments, Trade, & Immigration",Brent SYMONETTE
"Bahamas, The",Min. of Foreign Affairs,Darren HENFIELD
"Bahamas, The",Min. of Health,Duane SANDS
"Bahamas, The",Min. of Labor,Dion FOULKES
"Bahamas, The",Min. of National Security,Marvin DAMES
"Bahamas, The",Min. of Public Service & National Insurance,Brensil ROLLE
"Bahamas, The",Min. of Social Services & Urban Development,Lanisha ROLLE
"Bahamas, The",Min. of State for Grand Bahama,James Kwasi THOMPSON
"Bahamas, The","Min. of State for Legal Affairs, Office of the Attorney General",Elsworth JOHNSON
"Bahamas, The","Min. of Tourism, Aviation, & Bahamasair",Dionisio D'AGUILAR
"Bahamas, The",Min. of Transport & Local Govt.,Frankie CAMPBELL
"Bahamas, The",Min. of Works,Desmond BANNISTER
"Bahamas, The","Min. of Youth, Sports, & Culture",Michael PINTARD
"Bahamas, The",Min. of the Environment & Housing,Romauld FERREIRA
"Bahamas, The","Permanent Representative to the UN, New York",Sheila CAREY
"Bahamas, The",Prime Min.,Hubert MINNIS
Bahrain,Ambassador to the US,Abdulla bin Rashid AL KHALIFA
Bahrain,Attorney Gen.,ALI bin Fadhil al-Buaynayn
Bahrain,Dep. Prime Min.,ALI bin Khalifa bin Salman Al Khalifa
Bahrain,Dep. Prime Min.,Jawad bin Salim al-ARAIDH
Bahrain,Dep. Prime Min.,KHALID bin Abdallah Al Khalifa
Bahrain,Dep. Prime Min.,MUHAMMAD bin Mubarak Al Khalifa
Bahrain,First Dep. Prime Min.,SALMAN bin Hamad Al Khalifa
Bahrain,"Governor, Central Bank of Bahrain",Rashid bin Muhammad al-MARAJ
Bahrain,King,HAMAD bin Isa Al Khalifa
Bahrain,Min. for Defense Affairs,Yusuf bin Ahmad bin Husayn al-JALAHMA
Bahrain,Min. for Information Affairs,Ali bin Muhammad al-RUMAYHI
Bahrain,Min. for Shura Council and House of Representative Affairs,Ghanim bin Fadhil al-BUAYNAYN
Bahrain,Min. of Education,Majid bin Ali Hasan al-NUAYMI
Bahrain,Min. of Energy,Abd al-Husayn MIRZA
Bahrain,Min. of Finance,AHMAD bin Muhammad bin Hamad bin Abdallah Al Khalifa
Bahrain,Min. of Foreign Affairs,KHALID bin Ahmad bin Muhammad Al Khalifa
Bahrain,Min. of Health,"FAYQA bint Said al-Salih, Dr."
Bahrain,Min. of Housing,Basim bin Yacub al-HAMAR
Bahrain,Min. of Human Rights & Social Development,"FAYQA bint Said al-Salih, Dr."
Bahrain,"Min. of Industry, Commerce, & Tourism",Zayid bin Rashid al-ZAYANI
Bahrain,Min. of Interior,"RASHID bin Abdallah bin Ahmad Al Khalifa, Lt. Gen."
Bahrain,"Min. of Justice, Islamic Affairs, & Endowment",KHALID bin Ali Al Khalifa
Bahrain,Min. of Labor & Social Development,Jamil Muhammad Ali HUMAYDAN
Bahrain,Min. of Royal Court Affairs,ALI bin Isa bin Salman Al Khalifa
Bahrain,Min. of Transportation & Telecommunication,KAMAL bin Ahmad Muhammad
Bahrain,"Min. of Works, Municipal Affairs, & Urban Planning",ISSAM bin Abdallah Khalaf
Bahrain,Min. of the Royal Court,KHALID bin Ahmad bin Salman Al Khalifa
Bahrain,Min. of the Royal Court for Follow-Up Affairs,AHMAD BIN ATIYATALLAH Al Khalifa
Bahrain,"Permanent Representative to the UN, New York",Jamal Faris al-RUWAYI
Bahrain,Prime Min.,KHALIFA bin Salman Al Khalifa
Bangladesh,Ambassador to the US,Mohammad ZIAUDDIN
Bangladesh,"Governor, Bangladesh Bank",Atiur RAHMAN
Bangladesh,Min of Liberation War,AKM Mojammel HAQUE
Bangladesh,Min. of Agriculture,Matia CHOWDHURY
Bangladesh,Min. of Civil Aviation & Tourism,Rashed Khan MENON
Bangladesh,Min. of Commerce,Tofail AHMED
Bangladesh,Min. of Cultural Affairs,Asaduzzaman NOOR
Bangladesh,Min. of Defense,Sheikh HASINA
Bangladesh,Min. of Disaster Management & Relief,Mofazzal Hossain Chowdhury MAYA
Bangladesh,Min. of Education,Nurul Islam NAHID
Bangladesh,Min. of Environment & Forest,Anwar Hossain MONJU
Bangladesh,Min. of Expatriates' Welfare & Overseas Employment,Nurul ISLAM
Bangladesh,Min. of Finance,Abu Maal Abdul MUHITH
Bangladesh,Min. of Fisheries & Livestock,Sayedul HAQUE
Bangladesh,Min. of Food,Qamrul ISLAM
Bangladesh,Min. of Foreign Affairs,A. H. Mahmood ALI
Bangladesh,Min. of Health & Family Planning,Mohammad NASIM
Bangladesh,Min. of Home Affairs,Asaduzzaman Khan KAMAL
Bangladesh,Min. of Housing & Public Works,Mosharraf HOSSAIN
Bangladesh,Min. of Industries,Amir Hossain AMU
Bangladesh,Min. of Information,Hasanul Haq INU
Bangladesh,Min. of Labor & Employment,Mujibul Haque CHUNNU
Bangladesh,Min. of Land,Shamsur Rahman SHARIF
Bangladesh,Min. of Law,Anisul HAQUE
Bangladesh,"Min. of Local Govt., Rural Development, & Cooperatives",Khandker Mosharraf HOSSAIN
Bangladesh,Min. of Planning,AHM Mostafa KAMAL
Bangladesh,"Min. of Power, Energy, & Mineral Resources",Sheikh HASINA
Bangladesh,Min. of Primary & Mass Education,Mustafizur Rahman FIZAR
Bangladesh,Min. of Public Admin.,Syed Ashraful ISLAM
Bangladesh,Min. of Railways,Mujibul HUQ
Bangladesh,Min. of Religious Affairs,Motiur RAHMAN
Bangladesh,Min. of Road Transport & Bridges,Obaidul QUADER
Bangladesh,Min. of Rural Development & Cooperatives,Moshiur Rahman RANGA
Bangladesh,Min. of Science & Technology,Yeafesh OSMAN
Bangladesh,Min. of Shipping,Shahjahan KHAN
Bangladesh,Min. of Social Welfare,Syed Mohsin ALI
Bangladesh,Min. of Textiles & Jute,Emajuddin PRAMANIK
Bangladesh,Min. of Water Resources,Anisul Islam MAHMUD
Bangladesh,"Permanent Representative to the UN, New York",Masud Bin MOMEN
Bangladesh,Pres.,Abdul HAMID
Bangladesh,Prime Min.,Sheikh HASINA
Barbados,Ambassador to the US,Selwin Charles HART
Barbados,Attorney Gen.,Dale MARSHALL
Barbados,Governor Gen.,Sandra MASON
Barbados,"Governor, Central Bank",DeLisle WORRELL
Barbados,Min. of Agriculture & Food Security,Indar WEIR
Barbados,Min. of Education & Technological & Vocational Training,Santia BRADSHAW
Barbados,Min. of Energy & Water Resources,Wilfred ABRAHAMS
Barbados,Min. of Environment & National Beautification,Trevor PRESCOD
Barbados,"Min. of Finance, Economic Affairs, & Investment",Mia MOTTLEY
Barbados,Min. of Foreign Affairs & Foreign Trade,"Jerome WALCOTT, Dr."
Barbados,Min. of Health & Wellness,Jeffrey BOSTIC
Barbados,Min. of Home Affairs,Edmund HINKSON
Barbados,"Min. of Housing, Lands, & Rural Development",George PAYNE
Barbados,"Min. of Information, Broadcasting, & Public Affairs",Lucille MOE
Barbados,"Min. of Innovation, Science, & Smart Technology",Kay MCCONNEY
Barbados,Min. of Intl. Business & Industry,Ronald TOPPIN
Barbados,Min. of Labor & Social Partnership Relations,Colin JORDAN
Barbados,Min. of Legal Affairs,Dale MARSHALL
Barbados,Min. of Maritime Affairs & the Blue Economy,Kirk HUMPHREY
Barbados,Min. of People Empowerment & Elder Affairs,Cynthia FORDE
Barbados,"Min. of Small Business, Entrepreneurship, & Commerce",Dwight SUTHERLAND
Barbados,Min. of Tourism & Intl. Transport,Kerrie SYMMONDS
Barbados,"Min. of Transport, Works, & Maintenance","William DUGUID, Dr."
Barbados,Min. of Youth & Community Empowerment,Adrian FORDE
Barbados,"Min. of the Creative Economy, Culture, & Sports",John KING
Barbados,"Permanent Representative to the UN, New York",Keith Hamilton Llewellyn MARSHALL
Barbados,Prime Min.,Mia MOTTLEY
Belarus,"Chief, Presidential Admin.",Natalya KOCHANOVA
