position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
39,39,Wang Chuanfu,Wang,wang-chuanfu,wang-chuanfu,5600,52,"batteries, automobiles",Automotive,M,//specials-images.forbesimg.com/imageserve/5bcfa1b0a7ea43705914d812/416x416.jpg?background=000000&cropX1=793&cropX2=3695&cropY1=0&cropY2=2902
40,40,Yu Yong,Yu,yu-yong,no-pic,5400,57,mining,Finance and Investments,M,
41,41,Lu Zhiqiang,Lu,lu-zhiqiang,lu-zhiqiang,5200,66,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5bcfb67d31358e5b43344ba8/416x416.jpg?background=000000&cropX1=672&cropX2=3286&cropY1=0&cropY2=2612
42,41,Yao Liangsong,Yao,yao-liangsong,no-pic,5200,54,furniture,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a0b22bda7ea436b47b559f2/416x416.jpg?background=000000&cropX1=896&cropX2=2137&cropY1=260&cropY2=1501
43,43,Xu Chuanhua,Xu,xu-chuanhua,no-pic,5100,84,"chemicals, logistics",Manufacturing,M,
44,44,Zhang Bangxin,Zhang,zhang-bangxin,no-pic,5000,39,after-school tutoring,Service,M,//specials-images.forbesimg.com/imageserve/5bcfa04fa7ea43705914d7d9/416x416.jpg?background=000000&cropX1=0&cropX2=1324&cropY1=31&cropY2=1356
45,45,Fu Liquan,Fu,fu-liquan,no-pic,4900,51,surveillance equipment,Technology,M,//specials-images.forbesimg.com/imageserve/5a7cb12931358e4955acf6aa/416x416.jpg?background=000000&cropX1=5&cropX2=2500&cropY1=621&cropY2=3117
46,46,Liu Yonghao,Liu,liu-yonghao,liu-yonghao,4850,67,agribusiness,Service,M,//specials-images.forbesimg.com/imageserve/5bcface631358e5b43344b13/416x416.jpg?background=000000&cropX1=1631&cropX2=4232&cropY1=191&cropY2=2789
47,47,Zhang Shiping,Zhang,zhang-shiping,zhang-shiping,4800,71,aluminum products,Metals & Mining,M,//specials-images.forbesimg.com/imageserve/5bcf9b7031358e5b433448aa/416x416.jpg?background=000000&cropX1=13&cropX2=3280&cropY1=13&cropY2=3283
48,48,Jiang Bin,Jiang,jiang-bin,jiang-bin,4700,52,acoustic components,Technology,M,http://specials-images.forbesimg.com/imageserve/33882d7aaf458263cb07411d98863327/416x416.jpg?background=000000&cropX1=151&cropX2=644&cropY1=37&cropY2=530
49,49,Chu Mang Yee,Chu,chu-mang-yee,chu-mang-yee,4450,59,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/33f3416ee4f4e17cb8ea4cf680b1179c/416x416.jpg?background=000000&cropX1=0&cropX2=688&cropY1=3&cropY2=691
50,50,Kei Hoi Pang,Kei,kei-hoi-pang,kei-hoi-pang,4400,53,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/1fa4a144289692d99fbce365c9d33f87/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
