name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Tse Ping,Tse,tse-ping,tse-ping,41.078,pharmaceuticals,Healthcare,M,China,1547574901333,2375.927,936,936,//specials-images.forbesimg.com/imageserve/5bcfb7584bbe6f78bda5a116/416x416.jpg?background=000000&cropX1=609&cropX2=3747&cropY1=0&cropY2=3136
Wim van der Leegte,van der Leegte,wim-van-der-leegte,wim-van-der-leegte,,manufacturing,Manufacturing,M,Netherlands,1538748695621,,,,//specials-images.forbesimg.com/imageserve/5a7fd6efa7ea431690133217/416x416.jpg?background=000000&cropX1=375&cropX2=1115&cropY1=62&cropY2=802
John Van Lieshout,Van Lieshout,john-van-lieshout,john-van-lieshout,0,real estate,Real Estate,M,Australia,1547574901334,1393.305,1583,1583,//specials-images.forbesimg.com/imageserve/bd62883aa051b1ecc30903dba76ec157/416x416.jpg?background=000000&cropX1=219&cropX2=636&cropY1=245&cropY2=662
Stefan von Holtzbrinck,von Holtzbrinck,stefan-von-holtzbrinck,stefan-von-holtzbrinck,-1.013,publishing,Media & Entertainment,M,Germany,1547574901333,2255.687,1013,1013,//specials-images.forbesimg.com/imageserve/4006b43466dcb630d585decf47bbcc89/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=131&cropY2=875
Wang Jianfeng,Wang,wang-jianfeng,no-pic,10.865,auto parts,Automotive,M,China,1547574901334,1138.134,1850,1850,
Wang Jing,Wang,wang-jing,wang-jing,,telecom services,Telecom,M,China,1518125600299,,,,//specials-images.forbesimg.com/imageserve/58864f9c5ce6b0e1785051fdc8c26f09/416x416.jpg?background=000000&cropX1=6&cropX2=740&cropY1=153&cropY2=888
Wang Wenliang,Wang,wang-wenliang,wang-wenliang,,shipping ports,Diversified,M,China,1518126109629,,,,//specials-images.forbesimg.com/imageserve/562a79fce4b0ffa7afe635f4/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=5&cropY2=749
Wang Yaohai,Wang,wang-yaohai,no-pic,22.609,lighting,Technology,M,China,1547574901334,1263.706,1710,1710,//specials-images.forbesimg.com/imageserve/5a97290831358e79a28a9ce0/416x416.jpg?background=000000&cropX1=0&cropX2=945&cropY1=83&cropY2=1028
Wei Ing-Chou,Wei,ing-chou-wei,ing-chou-wei,11.674,"food, beverages",Food and Beverage,M,Taiwan,1547574901334,1371.202,1599,1599,//specials-images.forbesimg.com/imageserve/e9a2704acdeff1486c271224ae45bed4/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=5&cropY2=749
Wei Ying-Chiao,Wei,wei-ying-chiao,wei-ying-chiao,11.255,"food, beverages",Food and Beverage,M,Taiwan,1547574901334,1325.064,1644,1644,//specials-images.forbesimg.com/imageserve/5a8134d74bbe6f2652f546a6/416x416.jpg?background=000000&cropX1=102&cropX2=623&cropY1=67&cropY2=588
