Rank,Name,Total_net_worth,Country,Industry
185,Melker Schorling,$7.45B,Sweden,Diversified
186,Hui Wing Mau,$7.44B,Hong Kong,Real Estate
187,Teh Hong Piow,$7.41B,Malaysia,Finance
188,Richard LeFrak,$7.38B,United States,Real Estate
189,Emmanuel Besnier,$7.36B,France,Food & Beverage
190,Jim Davis,$7.34B,United States,Consumer
191,Galen Weston,$7.31B,Canada,Retail
192,Goh Cheng Liang,$7.28B,Singapore,Industrial
193,John Albert Sobrato,$7.27B,United States,Real Estate
194,Silvio Berlusconi,$7.22B,Italy,Media & Telecom
195,Henry Sy Sr,$7.22B,Philippines,Diversified
196,Mohamed Al Jaber,$7.19B,Saudi Arabia,Retail
197,Tim Sweeney,$7.18B,United States,Technology
198,Sherry Brydson,$7.12B,Canada,Media & Telecom
199,Nusli Wadia,$7.12B,India,Diversified
200,Christy Walton,$7.09B,United States,Retail
201,Leonid Fedun,$7.07B,Russian Federation,Energy
202,Gustaf Douglas,$7.04B,Sweden,Diversified
203,Savitri Jindal,$7.01B,India,Commodities
204,George Soros,$7.00B,United States,Finance
205,Ronald McAulay,$6.99B,Hong Kong,Energy
206,Reinhold Schmieding,$6.98B,United States,Health Care
207,Hansjoerg Wyss,$6.94B,Switzerland,Health Care
208,Eli Broad,$6.92B,United States,Diversified
209,Gong Hongjia,$6.89B,China,Technology
210,Theo Albrecht Jr,$6.85B,Germany,Retail
211,Nicky Oppenheimer,$6.83B,South Africa,Diversified
212,Ned Johnson III,$6.82B,United States,Finance
213,Frederik Paulsen,$6.80B,Sweden,Health Care
214,George Lucas,$6.78B,United States,Entertainment
215,Dan Gilbert,$6.73B,United States,Real Estate
216,Jim Pattison,$6.66B,Canada,Media & Telecom
217,Sun Hongbin,$6.65B,United States,Real Estate
218,Richard Kinder,$6.62B,United States,Energy
219,Heinrich Deichmann,$6.59B,Germany,Retail
220,Sun Piaoyang,$6.56B,China,Health Care
221,Zeng Yuqun,$6.54B,Hong Kong,Industrial
222,Prakash Lohia,$6.53B,Indonesia,Industrial
223,Jorn Rausing,$6.51B,Sweden,Services
224,Alexey Kuzmichev,$6.50B,Russian Federation,Diversified
225,Marc Benioff,$6.44B,United States,Technology
226,Johann Rupert,$6.43B,South Africa,Diversified
227,Frank Wang,$6.42B,China,Technology
228,Randa Duncan Williams,$6.41B,United States,Energy
229,Dannine Avara,$6.41B,United States,Energy
230,Scott Duncan,$6.41B,United States,Energy
231,Milane Duncan Frantz,$6.41B,United States,Energy
232,Seo Jung-Jin,$6.41B,"Korea, Republic of",Health Care
233,Marian Ilitch,$6.41B,United States,Food & Beverage
234,Antonia Axson Johnson,$6.41B,Sweden,Industrial
235,Ralph Lauren,$6.39B,United States,Consumer
236,Patrick Drahi,$6.38B,France,Media & Telecom
237,Jay Y Lee,$6.36B,"Korea, Republic of",Diversified
238,Vivek Sehgal,$6.36B,Australia,Industrial
239,Nassef Sawiris,$6.35B,Egypt,Industrial
240,Graeme Hart,$6.31B,New Zealand,Finance
241,Robert Pera,$6.31B,United States,Technology
242,Sandra Ortega Mera,$6.29B,Spain,Retail
243,Mike Cannon-Brookes,$6.27B,Australia,Technology
244,Scott Farquhar,$6.27B,Australia,Technology
245,Les Wexner,$6.26B,United States,Retail
246,Pedro Moreira Salles,$6.26B,Brazil,Finance
247,Jeff Hildebrand,$6.26B,United States,Energy
248,Vivien Chen,$6.22B,Hong Kong,Real Estate
249,Kumar Birla,$6.21B,India,Industrial
250,Alexander Abramov,$6.15B,Russian Federation,Industrial
251,Kei Hoi Pang,$6.13B,China,Real Estate
252,Liu Yonghao,$6.11B,China,Diversified
253,Joao Moreira Salles,$6.09B,Brazil,Finance
254,Fernando Moreira Salles,$6.09B,Brazil,Finance
255,Walter Salles,$6.09B,Brazil,Finance
256,Charles Butt,$6.09B,United States,Retail
257,Johann Graf,$6.04B,Austria,Entertainment
258,Wu Shaoxun,$6.03B,China,Food & Beverage
259,Giorgio Armani,$6.01B,Italy,Consumer
260,Andy Bechtolsheim,$5.99B,Germany,Technology
261,Tsai Eng-Meng,$5.98B,Taiwan,Food & Beverage
262,Simon Reuben,$5.95B,United Kingdom,Diversified
263,David Reuben,$5.95B,United Kingdom,Diversified
264,Jerry Jones,$5.95B,United States,Entertainment
265,Natie Kirsh,$5.91B,South Africa,Food & Beverage
266,John P Grayken,$5.80B,Ireland,Finance
267,Kirsten Rausing,$5.79B,Sweden,Services
268,Finn Rausing,$5.79B,Sweden,Services
269,Aloys Wobben,$5.74B,Germany,Energy
270,Steven Spielberg,$5.73B,United States,Entertainment
271,Joe Lewis,$5.71B,United Kingdom,Diversified
272,Henry Kravis,$5.68B,United States,Finance
273,Bob Rich,$5.67B,United States,Food & Beverage
274,Stef Wertheimer,$5.65B,Israel,Diversified
275,George Roberts,$5.65B,United States,Finance
276,Ray Hunt,$5.60B,United States,Energy
277,Niels Louis-Hansen,$5.58B,Denmark,Health Care
278,Majid Al Futtaim,$5.57B,United Arab Emirates,Real Estate
279,Petr Aven,$5.55B,Russian Federation,Diversified
280,Ludwig Merckle,$5.55B,Germany,Industrial
281,John Paulson,$5.48B,United States,Finance
282,Richard Liu,$5.48B,China,Technology
283,Travis Kalanick,$5.45B,United States,Technology
284,Rinat Akhmetov,$5.44B,Ukraine,Industrial
285,Margaretta Taylor,$5.43B,United States,Media & Telecom
286,James Chambers,$5.43B,United States,Media & Telecom
287,Katharine Rayner,$5.43B,United States,Media & Telecom
288,Theo Mueller,$5.43B,Germany,Food & Beverage
